534,2014-11-29 16:50,2014-11-30 04:07,Turboprop Airline,Heathrow,LAX,200,110
512,2014-11-30 09:30,2014-11-30 16:12,Turboprop Airline,LAX,Pearson,350,110
103,2014-11-30 16:19,2014-11-30 20:52,Jetliner Flights,Pearson,Portland,230,100
156,2014-11-30 05:10,2014-11-30 07:30,Superprop Airways,LAX,Portland,350,100
ACC,2015-05-10 00:00,2015-05-11 01:00,Air Canada,A,B,100.00,100
AC1,2015-05-11 00:00,2015-05-11 01:00,Air Canada,A,B,100.00,100
AC2,2015-05-11 07:00,2015-05-11 10:00,Air Canada,B,C,100.00,100
AC3,2015-05-11 07:01,2015-05-11 10:00,Air Canada,B,C,100.00,100
AC4,2015-05-11 10:01,2015-05-21 10:00,Air Canada,C,D,100.00,100
BB1,2015-05-20 07:01,2015-05-20 10:00,Air Canada,B,C,310.00,100
BB2,2015-05-20 10:01,2015-05-21 10:00,Air Canada,B,C,300.00,100
