489,2016-09-09 09:09,2016-09-09 13:27,FlightsRUs,Chicago,Los Angelos,300.99,8
490,2016-09-30 22:40,2016-10-01 01:59,Go Airline,New York,Boston,532.00,4
102,2016-09-30 16:43,2016-09-30 17:15,FlightsRUs,New York,Chicago,290.50,0
103,2016-09-30 16:37,2016-09-30 17:22,Go Airline,New York,Chicago,290.00,20
A1,2015-03-31 10:01,2015-03-31 10:02,FlightsRUs,Toronto,Seattle,200.00,1
A2,2015-03-31 10:01,2015-03-31 10:02,FlightsRUs,Toronto,Seattle,200.00,0
A3,2015-03-31 10:01,2015-03-31 10:03,FlightsRUs,Toronto,Seattle,200.00,100
B1,2016-03-31 10:01,2016-03-31 10:02,FlightsRUs,Toronto,Seattle,200.00,1
B3,2016-03-31 10:01,2016-03-31 10:02,FlightsRUs,Toronto,Seattle,200.00,0
B2,2016-03-31 10:30,2016-03-31 11:00,FlightsRUs,Seattle,Los Angeles,200.00,1
C0,2016-05-01 01:00,2016-05-01 10:00,FlightsRUs,Toronto,Sydney,500.00,100
C1,2016-05-01 15:59,2016-05-01 20:00,FlightsRUs,Sydney,Los Angeles,500.00,100
C2,2016-05-01 16:01,2016-05-01 20:00,FlightsRUs,Sydney,Los Angeles,500.00,100
